kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
10125352,K00021.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,4.288515468,1.0740000e-06,-1.0740000e-06,121.9726800,2.120000e-04,-2.120000e-04,1.283,0.594,-0.180,2.29590,0.01070,-0.01070,3456.7,1.440e+01,-1.440e+01,76.51,16.12,-2.622e+01,1722.0,,,2081.57,1321.07,-1277.37,292.10,1,q1_q17_dr25_tce,6378.00,176.00,-176.00,3.878,0.315,-0.105,2.0020,0.4220,-0.6860,284.738590,47.169628,13.396
9631995,K00022.01,Kepler-422 b,CONFIRMED,CANDIDATE,0.9880,0,0,0,0,7.891448838,5.0600000e-07,-5.0600000e-07,177.2499624,5.030000e-05,-5.030000e-05,0.306,0.022,-0.028,4.28540,0.00697,-0.00697,10344.6,6.900e+00,-6.900e+00,12.63,2.13,-1.420e+00,1028.0,,,263.54,114.26,-67.34,1955.10,1,q1_q17_dr25_tce,5972.00,72.00,-84.00,4.313,0.095,-0.116,1.2370,0.2090,-0.1390,282.629670,46.323360,13.435
9071386,K00023.01,,FALSE POSITIVE,FALSE POSITIVE,0.2690,0,1,0,0,4.693305543,3.8400000e-07,-3.8400000e-07,136.8627229,6.620000e-05,-6.620000e-05,0.230,0.024,-0.030,5.17249,0.00775,-0.00775,14522.9,1.070e+01,-1.070e+01,17.85,3.24,-2.430e+00,1389.0,,,881.73,440.80,-279.63,1765.20,1,q1_q17_dr25_tce,6365.00,115.00,-140.00,4.220,0.099,-0.121,1.4700,0.2670,-0.2000,283.166320,45.403061,12.291
4743513,K00024.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,2.086075752,1.3920000e-06,-1.3920000e-06,170.9656270,5.750000e-04,-5.750000e-04,0.914,0.008,-0.012,2.26470,0.05200,-0.05200,3657.8,5.380e+01,-5.380e+01,10.30,2.08,-3.140e+00,1845.0,,,2747.42,1679.34,-1545.05,102.20,1,q1_q17_dr25_tce,6131.00,168.00,-153.00,4.071,0.294,-0.126,1.4170,0.2870,-0.4310,290.815400,39.819469,12.963
10593759,K00025.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,3.132604547,1.4810000e-06,-1.4810000e-06,136.0104540,3.940000e-04,-3.940000e-04,1.251,3.655,-0.151,3.63370,0.02260,-0.02260,9969.2,5.200e+01,-5.200e+01,48.73,16.67,-7.140e+00,1444.0,,,1028.81,1031.76,-372.96,222.30,1,q1_q17_dr25_tce,6248.00,168.00,-205.00,4.328,0.108,-0.201,1.1810,0.4040,-0.1730,289.261660,47.815521,13.499
5021737,K00026.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,15.039463260,1.1120000e-05,-1.1120000e-05,144.1374610,6.060000e-04,-6.060000e-04,0.902,0.003,-0.003,5.10080,0.03740,-0.03740,5237.7,3.860e+01,-3.860e+01,12.36,3.96,-2.630e+00,962.0,,,202.60,183.16,-91.45,181.60,1,q1_q17_dr25_tce,6501.00,146.00,-194.00,4.212,0.153,-0.187,1.4410,0.4610,-0.3070,294.732820,40.150341,11.997
3832716,K00027.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,1.141877248,6.6000000e-08,-6.6000000e-08,170.3386848,4.620000e-05,-4.620000e-05,0.598,0.007,-0.007,4.33931,0.00301,-0.00301,309490.0,1.770e+02,-1.770e+02,88.62,25.78,-2.578e+01,2184.0,,,5358.79,4593.18,-2978.79,2036.30,1,q1_q17_dr25_tce,6158.00,169.00,-188.00,4.152,0.286,-0.176,1.3680,0.3980,-0.3980,285.394040,38.904911,13.418
4247791,K00028.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,4.100870416,3.6100000e-07,-3.6100000e-07,168.1460533,7.020000e-05,-7.020000e-05,0.938,0.015,-0.014,8.15361,0.00405,-0.00405,123521.0,5.480e+01,-5.480e+01,82.46,21.79,-2.419e+01,1413.0,,,939.61,760.99,-532.96,2619.20,1,q1_q17_dr25_tce,5923.00,187.00,-208.00,4.118,0.286,-0.154,1.5100,0.3990,-0.4430,287.164860,39.376942,11.260
6956014,K00031.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,0.925589891,3.6530000e-06,-3.6530000e-06,169.6927500,3.190000e-03,-3.190000e-03,0.616,0.056,-0.474,1.96700,0.11700,-0.11700,400.8,2.380e+01,-2.380e+01,50.60,14.85,-5.300e+00,6637.0,,,460202.18,366069.92,-110815.42,20.60,1,q1_q17_dr25_tce,4094.00,73.00,-55.00,1.627,0.120,-0.120,24.4880,7.1850,-2.5660,294.031800,42.468845,10.795
5725087,K00033.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,0.366197145,1.0250000e-06,-1.0250000e-06,133.5596900,2.270000e-03,-2.270000e-03,0.319,0.167,-0.318,1.23350,0.08770,-0.08770,275.3,2.140e+01,-2.140e+01,51.34,2.15,-1.150e+01,9983.0,,,2335438.28,407000.24,-1077153.97,16.70,1,q1_q17_dr25_tce,4448.00,88.00,-122.00,1.694,0.033,-0.027,31.5000,1.3230,-7.0560,296.967900,40.926769,11.059
6521045,K00041.01,Kepler-100 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,12.815904210,1.9450000e-05,-1.9450000e-05,122.9468200,1.190000e-03,-1.190000e-03,0.580,0.005,-0.486,6.38560,0.04380,-0.04380,220.5,2.200e+00,-2.200e+00,2.26,0.15,-1.200e-01,939.0,,,183.68,35.61,-27.85,106.70,1,q1_q17_dr25_tce,5788.00,78.00,-78.00,4.122,0.033,-0.027,1.4740,0.0940,-0.0790,291.385990,41.990269,11.197
6521045,K00041.02,Kepler-100 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.887070730,2.2770000e-05,-2.2770000e-05,133.1779700,2.680000e-03,-2.680000e-03,0.696,0.029,-0.508,4.46790,0.07570,-0.07570,68.7,2.000e+00,-2.000e+00,1.30,0.08,-7.000e-02,1155.0,,,420.97,81.61,-63.83,38.20,2,q1_q17_dr25_tce,5788.00,78.00,-78.00,4.122,0.033,-0.027,1.4740,0.0940,-0.0790,291.385990,41.990269,11.197
6521045,K00041.03,Kepler-100 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,35.333193200,2.2480000e-04,-2.2480000e-04,153.9824900,4.890000e-03,-4.890000e-03,0.656,0.270,-0.433,5.96600,0.12800,-0.12800,99.7,3.600e+00,-3.600e+00,1.55,0.10,-8.000e-02,670.0,,,47.52,9.21,-7.21,28.80,3,q1_q17_dr25_tce,5788.00,78.00,-78.00,4.122,0.033,-0.027,1.4740,0.0940,-0.0790,291.385990,41.990269,11.197
8866102,K00042.01,Kepler-410 A b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,17.833678340,1.3850000e-05,-1.3850000e-05,181.2339430,6.030000e-04,-6.030000e-04,0.013,0.278,-0.013,4.51120,0.01950,-0.01950,326.9,2.400e+00,-2.400e+00,2.43,0.12,-1.400e-01,866.0,,,132.94,20.74,-20.33,154.50,1,q1_q17_dr25_tce,6407.00,76.00,-83.00,4.268,0.030,-0.030,1.3370,0.0670,-0.0740,283.150700,45.139832,9.364
9025922,K00043.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,11.320295990,1.7180000e-05,-1.7180000e-05,177.0838800,1.270000e-03,-1.270000e-03,0.914,0.010,-0.011,4.58660,0.09780,-0.09780,4303.5,9.090e+01,-9.090e+01,8.02,0.00,0.000e+00,811.0,,,102.12,0.00,0.00,85.00,1,q1_q17_dr25_tce,5780.00,,,4.438,,,1.0000,,,293.266050,45.350697,13.290
8845026,K00044.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,66.467462170,3.0030000e-05,-3.0030000e-05,160.4765100,3.580000e-04,-3.580000e-04,0.116,0.039,-0.078,19.66380,0.02320,-0.02320,12643.7,1.420e+01,-1.420e+01,11.97,3.43,-1.570e+00,466.0,,,11.18,9.72,-3.86,1049.30,1,q1_q17_dr25_tce,5843.00,182.00,-203.00,4.403,0.087,-0.203,1.0730,0.3070,-0.1410,300.151860,45.089611,13.483
3742855,K00045.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,6.397185875,2.7900000e-06,-2.7900000e-06,174.3653530,3.250000e-04,-3.250000e-04,0.755,0.004,-0.006,5.86380,0.02310,-0.02310,18887.0,5.390e+01,-5.390e+01,15.02,0.00,0.000e+00,981.0,,,218.59,0.00,0.00,394.70,1,q1_q17_dr25_tce,5780.00,,,4.438,,,1.0000,,,290.266140,38.837917,13.133
10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.487688776,1.1050000e-06,-1.1050000e-06,170.9322170,2.530000e-04,-2.530000e-04,0.026,0.205,-0.026,3.83661,0.00947,-0.00947,1298.8,4.100e+00,-4.100e+00,5.64,0.83,-1.350e+00,1445.0,,,1033.07,439.91,-478.15,350.60,1,q1_q17_dr25_tce,5576.00,112.00,-101.00,4.065,0.196,-0.084,1.5930,0.2350,-0.3820,283.255490,48.355232,13.770
10905239,K00046.02,Kepler-101 c,CONFIRMED,CANDIDATE,0.9170,0,0,0,0,6.029772410,6.2640000e-05,-6.2640000e-05,132.4816200,7.570000e-03,-7.570000e-03,0.379,0.088,-0.379,3.96100,0.22900,-0.22900,54.6,5.100e+00,-5.100e+00,1.18,0.17,-2.900e-01,1204.0,,,496.46,211.41,-229.78,11.50,2,q1_q17_dr25_tce,5576.00,112.00,-101.00,4.065,0.196,-0.084,1.5930,0.2350,-0.3820,283.255490,48.355232,13.770
7837302,K00048.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,23.836808884,1.5070000e-06,-1.5070000e-06,173.7759431,4.980000e-05,-4.980000e-05,1.008,0.013,-0.013,6.02854,0.00455,-0.00455,29684.7,1.550e+01,-1.550e+01,59.31,14.97,-2.779e+01,919.0,,,168.28,134.64,-127.05,2793.40,1,q1_q17_dr25_tce,6095.00,213.00,-213.00,3.894,0.512,-0.128,1.9400,0.4900,-0.9090,296.553860,43.543179,13.722
9527334,K00049.01,Kepler-461 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.313773040,4.2060000e-05,-4.2060000e-05,175.9913700,4.020000e-03,-4.020000e-03,0.002,0.432,-0.002,2.96400,0.12500,-0.12500,837.4,4.910e+01,-4.910e+01,2.74,0.43,-1.300e-01,886.0,,,145.51,64.54,-23.61,19.60,1,q1_q17_dr25_tce,5900.00,105.00,-117.00,4.509,0.021,-0.119,0.9510,0.1520,-0.0450,292.249020,46.164822,13.704
6056992,K00051.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,10.431146765,3.2670000e-06,-3.2670000e-06,133.9363370,2.640000e-04,-2.640000e-04,1.225,1.051,-0.137,3.88530,0.01860,-0.01860,29375.6,9.200e+01,-9.200e+01,50.44,0.00,0.000e+00,833.0,,,114.02,0.00,0.00,400.20,1,q1_q17_dr25_tce,5780.00,,,4.438,,,1.0000,,,295.918850,41.332432,13.761
3558981,K00052.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,2.987862720,2.3060000e-06,-2.3060000e-06,168.0112330,6.180000e-04,-6.180000e-04,0.621,0.055,-0.159,2.58140,0.08750,-0.08750,42789.0,5.960e+02,-5.960e+02,17.82,2.75,-1.700e+00,1064.0,,,303.15,167.53,-84.91,98.00,1,q1_q17_dr25_tce,5231.00,203.00,-166.00,4.544,0.049,-0.098,0.8210,0.1270,-0.0780,294.977450,38.678352,13.109
2445975,K00053.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,3.388887193,1.6810000e-06,-1.6810000e-06,172.2590540,3.920000e-04,-3.920000e-04,0.387,0.009,-0.352,2.44750,0.03160,-0.03160,11267.8,8.150e+01,-8.150e+01,10.72,0.00,0.000e+00,1212.0,,,511.30,0.00,0.00,162.90,1,q1_q17_dr25_tce,5780.00,,,4.438,,,1.0000,,,292.030910,37.773529,13.513
8248939,K00061.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,1.633454020,2.8820000e-05,-2.8820000e-05,181.8556000,1.320000e-02,-1.320000e-02,1.190,11.240,-0.079,3.81700,0.75500,-0.75500,359.0,6.170e+01,-6.170e+01,24.87,8.04,-3.450e+00,1750.0,,,2211.18,2171.51,-807.44,7.40,1,q1_q17_dr25_tce,6283.00,197.00,-241.00,4.372,0.105,-0.195,1.0910,0.3530,-0.1510,296.935940,44.161045,12.179
11554435,K00063.01,Kepler-63 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,9.434141710,2.1360000e-05,-2.1360000e-05,177.8434600,1.770000e-03,-1.770000e-03,0.538,0.046,-0.434,2.81120,0.07750,-0.07750,3977.0,1.160e+02,-1.160e+02,5.73,0.78,-3.300e-01,791.0,,,92.39,35.49,-16.67,40.20,1,q1_q17_dr25_tce,5578.00,100.00,-111.00,4.518,0.035,-0.105,0.8860,0.1200,-0.0510,289.226170,49.548199,11.582
7051180,K00064.01,,CANDIDATE,CANDIDATE,1.0000,0,1,0,0,1.951082219,3.8880000e-06,-3.8880000e-06,157.5431600,1.590000e-03,-1.590000e-03,0.925,0.029,-0.721,1.69750,0.05340,-0.05340,1151.8,4.580e+01,-4.580e+01,10.35,0.77,-1.250e+00,2005.0,,,3822.26,832.84,-1056.73,30.10,1,q1_q17_dr25_tce,5302.00,71.00,-87.00,3.768,0.060,-0.045,2.4260,0.1810,-0.2930,296.510590,42.547440,13.143
10620329,K00066.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,0.436282594,8.8000000e-08,-8.8000000e-08,170.7020410,1.560000e-04,-1.560000e-04,1.269,0.305,-0.159,1.39880,0.01210,-0.01210,536.4,3.200e+00,-3.200e+00,83.25,9.15,-2.134e+01,5187.0,,,170399.16,46192.54,-80213.10,218.30,1,q1_q17_dr25_tce,8491.00,67.00,-93.00,3.853,0.232,-0.058,2.6220,0.2880,-0.6720,298.709230,47.840019,11.002
8669092,K00068.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,1.000840564,6.4400000e-07,-6.4400000e-07,121.2937710,5.610000e-04,-5.610000e-04,1.165,8.618,-0.184,1.32920,0.03180,-0.03180,2714.4,4.800e+01,-4.800e+01,80.25,14.86,-3.465e+01,3367.0,,,30248.83,17017.67,-21607.03,73.20,3,q1_q17_dr25_tce,6287.00,170.00,-189.00,3.558,0.353,-0.118,3.1770,0.5880,-1.3720,281.893070,44.827461,12.733
3544595,K00069.01,Kepler-93 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.726740370,1.5700000e-06,-1.5700000e-06,134.9263960,2.710000e-04,-2.710000e-04,0.657,0.042,-0.449,2.92670,0.01640,-0.01640,273.1,1.100e+00,-1.100e+00,1.56,0.07,-7.000e-02,1028.0,,,264.08,40.00,-33.67,287.80,1,q1_q17_dr25_tce,5648.00,76.00,-76.00,4.472,0.030,-0.030,0.8940,0.0400,-0.0360,291.418300,38.672359,9.931
6850504,K00070.01,Kepler-20 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.854095934,4.9770000e-06,-4.9770000e-06,138.6080310,3.780000e-04,-3.780000e-04,0.422,0.034,-0.358,3.77680,0.02040,-0.02040,1034.4,4.500e+00,-4.500e+00,2.99,0.33,-2.700e-01,765.0,,,80.88,26.80,-19.06,252.80,1,q1_q17_dr25_tce,5465.00,109.00,-109.00,4.449,0.085,-0.085,0.9250,0.1010,-0.0830,287.698000,42.338718,12.498
